reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,text.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,7,0,49,5,1137.9730417999963,,1137.9638276999904,1137.9730417999963,1138.9747086999996,1138.9747086999996,1138.9747086999996,1142.3820306999987,t,-0.7860228000063216,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,7,1,50,6,1142.3927608999948,,1142.3827133999876,1142.3927608999948,1143.3928955999872,1143.3928955999872,1143.3928955999872,1144.9981063999876,t,-2.597026699993876,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,7,2,51,0,1145.0103908999881,,1144.9987919999985,1145.0103908999881,1146.0114608000003,1146.0114608000003,1146.0114608000003,1150.2173030999984,l,0.012941700013470836,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,7,3,52,4,1150.2290263999894,,1150.218023399997,1150.2290263999894,1151.2297511999932,1151.2297511999932,1151.2297511999932,1158.3534194999957,t,2.9302999999927124,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,7,4,53,3,1158.3655431999941,,1158.3538445000013,1158.3655431999941,1159.3660556999967,1159.3660556999967,1159.3660556999967,1161.0210435999907,t,-2.547393999993801,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,7,5,54,2,1161.0329981999967,,1161.021689000001,1161.0329981999967,1162.0336111999932,1162.0336111999932,1162.0336111999932,1306.8786581999884,t,140.63800450001145,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,7,6,55,1,1306.8914394999883,,1306.8793750999903,1306.8914394999883,1307.8914105000003,1307.8914105000003,1307.8914105000003,1408.1359434999904,l,96.04291860001103,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,8,0,56,4,1408.1468666,,1408.1366340999957,1408.1468666,1409.1470051999931,1409.1470051999931,1409.1470051999931,1411.0068612999894,t,-2.343980299992836,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,8,1,57,2,1411.030797200001,,1411.0085850999894,1411.030797200001,1412.0312829999893,1412.0312829999893,1412.0649831999908,1423.426889399998,l,7.197102300007828,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,8,2,58,5,1423.4534665999963,,1423.4277589999983,1423.4534665999963,1424.4545922999969,1424.4545922999969,1424.4545922999969,1426.1623604999913,t,-2.5114806999918073,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,8,3,59,3,1426.1867648999905,,1426.1635951999924,1426.1867648999905,1427.1873997999937,1427.1873997999937,1427.2207875999884,1429.2808303999918,t,-2.1092876000038814,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,8,4,60,6,1429.3048568999948,,1429.2819414999976,1429.3048568999948,1430.3052341000002,1430.3052341000002,1430.3231258000014,1431.7856515999883,t,-2.7368247999984305,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,8,5,61,0,1431.8056999999972,,1431.7876042999997,1431.8056999999972,1432.822600399988,1432.822600399988,1432.822600399988,1438.3182013999904,l,1.2957230000029085,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,8,6,62,1,1438.3417625000002,,1438.3198641999916,1438.3417625000002,1439.358816699998,1439.358816699998,1439.358816699998,1512.530229600001,l,68.97154199999932,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,9,0,63,5,1512.5541656999994,,1512.5313562999945,1512.5541656999994,1513.5407013999938,1513.5407013999938,1513.5713584999903,1516.4315608999896,t,-1.333829399998649,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,9,1,64,6,1516.4555161999888,,1516.4328373999888,1516.4555161999888,1517.456965099991,1517.456965099991,1517.456965099991,1518.3824269999895,t,-3.2695516999956453,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,9,2,65,4,1518.4063558999915,,1518.3840372999985,1518.4063558999915,1519.406710899988,1519.406710899988,1519.426364599989,1521.4369485999923,t,-2.1801300999941304,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,9,3,66,0,1521.4590058999893,,1521.4388181999966,1521.4590058999893,1522.4746861999884,1522.4746861999884,1522.4746861999884,1567.998434699999,l,41.32193279999774,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,9,4,67,1,1568.0262897999928,,1567.999770999988,1568.0262897999928,1569.0261189999874,1569.0261189999874,1569.061134299991,1570.5495908000012,l,-2.6847138999874005,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,9,5,68,2,1570.5603683999943,,1570.5501697,1570.5603683999943,1571.5772581999918,1571.5772581999918,1571.5772581999918,1573.7028864999884,l,-2.084768199987593,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,9,6,69,3,1573.728310599996,,1573.703867899996,1573.728310599996,1574.7119901999977,1574.7119901999977,1574.7298709999886,1577.072713799993,t,-1.8578542999894125,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,10,0,70,5,1577.0962345000007,,1577.0740455999912,1577.0962345000007,1578.0831835999998,1578.0831835999998,1578.1132406999968,1601.211400100001,t,18.93282270000782,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
